facility_id,facility_name,facility_type,district,latitude,longitude,crs,risk_level,pred_outage_prob_24h,pred_human_impact_prob_24h,priority_score_24h,predicted_risk_label_24h
node/7288964676,Gayatri Hospital,Hospital,RAIPUR,21.239345,81.6038105,0.4781826078822488,Medium,0.27270491958555393,0.0001606829294288156,0.41525543762350675,Medium
node/6950645773,Devi Laxmi Hospital,Hospital,RAIPUR,21.2233136,81.6522994,0.4781826078822488,Medium,0.2705178587207113,0.0001606829294288156,0.41458388865331164,Medium
node/6966904907,Shri Manulal Memorial Medical Centre,Hospital,RAIPUR,21.2363311,81.6213289,0.4781826078822488,Medium,0.2694523377616684,0.00016068292946418532,0.41426143960658546,Medium
node/6965495374,Sahai Hospital,Hospital,RAIPUR,21.2230452,81.656616,0.4781826078822488,Medium,0.2656395195480525,0.00016068292946418532,0.4130974709724179,Medium
node/7288964599,Jeevan Anmol Hospital,Hospital,RAIPUR,21.2250565,81.6531985,0.4781826078822488,Medium,0.26207328684532694,0.00016068292946418532,0.41200214196535256,Medium
node/7148125255,District Hospital Raipur,Hospital,RAIPUR,21.2317387,81.6401796,0.4781826078822488,Medium,0.2570378432683719,0.00016068292946418532,0.41048130525457505,Medium
node/4445176350,The Radient Way School,School,RAIPUR,21.2451205,81.5880403,0.4781826078822488,Medium,0.2487487910273967,0.00016068292946418532,0.40798408632750727,Medium
node/7288964648,District Police Hospital,Hospital,RAIPUR,21.2307216,81.6449518,0.4781826078822488,Medium,0.24809749873117762,0.00016068292946418532,0.40778906286424377,Medium
node/6956655145,Shree Medishine Hospital - Raipur,Hospital,RAIPUR,21.2200322,81.6655757,0.4781826078822488,Medium,0.2290973548183833,0.00016068292946418532,0.4020265959067276,Medium
node/7288964603,Shri Krishna Hospital,Hospital,RAIPUR,21.223641,81.660207,0.4781826078822488,Medium,0.22908900318347672,0.00016068292946418532,0.40200318698120324,Medium
node/7288964679,Vijaya durga hospital,Hospital,RAIPUR,21.235824,81.63491,0.4781826078822488,Medium,0.2285917189089032,0.00016068292946418532,0.4018364141083562,Medium
node/7288964641,Kankali Hospital Parisar,Hospital,RAIPUR,21.23854,81.62784,0.4781826078822488,Medium,0.21854299228694454,0.00016068292946418532,0.3987745928819019,Medium
node/7148125099,Govt. T.B. Hospital,Hospital,RAIPUR,21.2346921,81.6389363,0.4781826078822488,Medium,0.2175747087651406,0.00016068292946418532,0.3984520132726223,Medium
node/6956629801,Tharani Children Hospital And Dental Clinic,Hospital,RAIPUR,21.2248204,81.6595718,0.4781826078822488,Medium,0.2175649592738446,0.00016068292946418532,0.3984282784475157,Medium
node/7291844320,Sankalp Hospital,Hospital,RAIPUR,21.2467743,81.5723744,0.4781826078822488,Medium,0.2172514068505236,0.00016068292946418532,0.39831496084116313,Medium
node/6957503652,Gbg Kidney Care Hospital,Hospital,RAIPUR,21.2259317,81.6585526,0.4781826078822488,Medium,0.2104356950956713,0.00016068292946418532,0.3962316098114325,Medium
node/7148125239,Government hospital arang,Hospital,RAIPUR,21.1940118,81.9703912,0.375,High,0.2877530357388201,0.0009535702034111747,0.389289268367504,Medium
